message,target
can t win alone,"[1, 0, 0]"
buy more hearts rofl,"[1, 0, 0]"
no one ever gives up,"[1, 0, 0]"
tower ,"[1, 0, 0]"
too much brain,"[1, 0, 0]"
say one thing,"[1, 0, 0]"
why u guys so smell and poor country  ,"[0, 0, 1]"
i thougt we were friends ,"[1, 0, 0]"
basic,"[1, 0, 0]"
report void and qop,"[1, 0, 0]"
he is best shittalker au,"[0, 1, 0]"
cyka,"[0, 0, 1]"
why crying   ,"[1, 0, 0]"
really retard,"[0, 1, 0]"
got fucked by  k scrub,"[0, 0, 1]"
report sf ty,"[1, 0, 0]"
wahtthefc,"[0, 1, 0]"
id stick my cock so far up your ass,"[0, 0, 1]"
its a team game,"[1, 0, 0]"
mga tanga,"[0, 0, 1]"
oh crap ,"[1, 0, 0]"
any cores ,"[1, 0, 0]"
not with ursa,"[1, 0, 0]"
lobby  ,"[1, 0, 0]"
fk this,"[0, 1, 0]"
i dont understand whats happening,"[1, 0, 0]"
trash offlane,"[0, 0, 1]"
dont cry here too,"[1, 0, 0]"
seafood,"[1, 0, 0]"
cock and ball torture,"[0, 1, 0]"
end ur mother noob,"[0, 0, 1]"
i prefer to farm cock,"[0, 1, 0]"
we got more out of it,"[1, 0, 0]"
tang ina mo magquit kayo hahaha,"[0, 0, 1]"
yes sht counts,"[0, 1, 0]"
hello cringe shit,"[0, 1, 0]"
this shit lookin like a      nadcl lobby,"[0, 1, 0]"
what teh fuck,"[0, 1, 0]"
u happy now ,"[1, 0, 0]"
goated supports,"[1, 0, 0]"
tell sf his girlfriend ugly as shit,"[0, 0, 1]"
chain frost is really good btw,"[1, 0, 0]"
fucking trash,"[0, 0, 1]"
whore,"[0, 0, 1]"
maledick to small,"[0, 1, 0]"
fucking ape,"[0, 1, 0]"
hard to lose vs  ,"[1, 0, 0]"
basically playing ck with ck spells,"[1, 0, 0]"
youre playing a pussy hero and im free farming lol,"[0, 1, 0]"
i need to go,"[1, 0, 0]"
anime monkey chinese,"[0, 0, 1]"
whos scared now,"[1, 0, 0]"
one second i will bye blink and fuck your team,"[0, 1, 0]"
thats what you think,"[1, 0, 0]"
is pl supp ,"[1, 0, 0]"
sorry  what morons ,"[0, 1, 0]"
what a toxic cunt,"[0, 0, 1]"
was gonna report am,"[1, 0, 0]"
trash loser,"[0, 0, 1]"
taba contestando wasap,"[1, 0, 0]"
wow insane u can ultfor a brown boots underleveled slark,"[1, 0, 0]"
razor seems to be mad at me ,"[1, 0, 0]"
blink come but dunno ulti,"[1, 0, 0]"
full force,"[1, 0, 0]"
worthless bot,"[0, 0, 1]"
wait bro ill fuck u in dpc someday not just in pub,"[0, 1, 0]"
hello there,"[1, 0, 0]"
and cool bm,"[1, 0, 0]"
this ss is ass,"[0, 0, 1]"
we are coming ,"[1, 0, 0]"
i want your cold cunt,"[0, 1, 0]"
i fuck ur m other too tevhies,"[0, 0, 1]"
i hope hitler comes back and decides he hates chinese people instead,"[0, 0, 1]"
low shit eng,"[0, 1, 0]"
they cant stand   sec,"[1, 0, 0]"
stop it mother fuckers,"[0, 1, 0]"
he s noob anyway,"[0, 1, 0]"
fuck off,"[0, 1, 0]"
can we  end ,"[1, 0, 0]"
literally bad too lmfao,"[1, 0, 0]"
why her nose is so big,"[0, 0, 1]"
he nt coming back he bitching about the lane,"[0, 1, 0]"
this axe  not even once single time bot,"[1, 0, 0]"
yaaaaa we was baiting yr mom to sleep with yr mouse ,"[0, 0, 1]"
its my   k game,"[1, 0, 0]"
need pos  ,"[1, 0, 0]"
like it s annyoing when two assholes won t communicate,"[1, 0, 0]"
you guys are fkn shit man,"[0, 1, 0]"
or jungle walker,"[1, 0, 0]"
dumb fucking team,"[0, 0, 1]"
muted ,"[1, 0, 0]"
we dont have a  ,"[1, 0, 0]"
so we wait for you but not us ey ,"[1, 0, 0]"
wtf i can see ur tp,"[0, 1, 0]"
void you are really noob,"[0, 0, 1]"
in her asshole,"[0, 0, 1]"
i am sucking mega cock with pos  ,"[0, 0, 1]"
are u guys trash like the last team we faced ,"[0, 1, 0]"
good game  clothes,"[1, 0, 0]"
surely right,"[1, 0, 0]"
why so easy,"[1, 0, 0]"
valaky can weteam,"[1, 0, 0]"
carejua,"[1, 0, 0]"
asshole,"[0, 0, 1]"
he leave,"[1, 0, 0]"
carry or ruin   ,"[1, 0, 0]"
and raped,"[0, 1, 0]"
every match of dota,"[1, 0, 0]"
us east moment,"[1, 0, 0]"
rep bs ty,"[1, 0, 0]"
piece of shit,"[0, 0, 1]"
ok i micro snap and my hero,"[1, 0, 0]"
you pick me you arldy win this game,"[1, 0, 0]"
why mkb btw ,"[1, 0, 0]"
all the space still no impact,"[1, 0, 0]"
thats the issue,"[1, 0, 0]"
i got a brain dead player in here,"[0, 0, 1]"
wont change shit,"[0, 1, 0]"
is retard palyer xd,"[0, 1, 0]"
sell items ,"[1, 0, 0]"
gotta love playing with retards,"[0, 0, 1]"
for   core,"[1, 0, 0]"
nob team,"[0, 0, 1]"
profet,"[1, 0, 0]"
i wont play ,"[1, 0, 0]"
trashplayers,"[0, 0, 1]"
primal and od are foating  k collectivley,"[1, 0, 0]"
guys your base,"[1, 0, 0]"
fatally bonded,"[1, 0, 0]"
pugna  how copme you killed yoursefl,"[1, 0, 0]"
and the poison,"[1, 0, 0]"
tard timber,"[0, 1, 0]"
u bought   too though ,"[1, 0, 0]"
hydrate u lil pricks ,"[0, 0, 1]"
ready,"[1, 0, 0]"
okay final offer  invite me to discord and we ll  v  these losers,"[0, 0, 1]"
i always love that everygame i play against a   stack and have to put up with   russian retards,"[0, 0, 1]"
that mad,"[1, 0, 0]"
play with brain bro,"[1, 0, 0]"
fuck bort,"[0, 0, 1]"
trash ursa we have bro balance,"[0, 0, 1]"
they let am farm  they farm,"[1, 0, 0]"
basic game,"[1, 0, 0]"
hold on sunshine,"[1, 0, 0]"
report witch nobb,"[0, 0, 1]"
my girl ur nothing,"[1, 0, 0]"
mother fucker,"[0, 0, 1]"
fked up pos me and spec,"[0, 1, 0]"
that just happened,"[1, 0, 0]"
report the peruvians,"[1, 0, 0]"
first was on rune,"[1, 0, 0]"
what a transgression,"[1, 0, 0]"
is indian waiting for a comeback,"[1, 0, 0]"
please end ,"[1, 0, 0]"
g throne,"[1, 0, 0]"
piece of shit,"[0, 0, 1]"
if you try and talk the entire game to make friends  you are a loser  ,"[0, 0, 1]"
cause he is benig a whiny baby,"[1, 0, 0]"
couldnt possible be shit skill,"[0, 1, 0]"
cant win game,"[1, 0, 0]"
guys trust me report please,"[1, 0, 0]"
kil the support,"[1, 0, 0]"
throne,"[1, 0, 0]"
sea best carry,"[1, 0, 0]"
fucking hell,"[0, 1, 0]"
yeahhh this is fucked,"[0, 1, 0]"
you baby on lp,"[1, 0, 0]"
fair enough man,"[1, 0, 0]"
for my team copming bitch,"[0, 1, 0]"
with these retards,"[0, 1, 0]"
first time win loser   ,"[0, 0, 1]"
is fcking good,"[0, 1, 0]"
party with purpubl  ,"[1, 0, 0]"
sry he is tard,"[0, 1, 0]"
whip it out,"[1, 0, 0]"
facke inf,"[0, 1, 0]"
team is afk,"[1, 0, 0]"
fuck putin btw,"[0, 1, 0]"
ogre said he won the lane,"[1, 0, 0]"
have you guys won a fight ,"[1, 0, 0]"
wrong neighbourhood,"[1, 0, 0]"
ur mom is fuckin joke,"[0, 0, 1]"
go fuck yourself,"[0, 0, 1]"
and reach smth,"[1, 0, 0]"
fattest cock ever,"[0, 1, 0]"
a mid hero took the tome wtf,"[0, 1, 0]"
ty  ur noobness im now ancient,"[0, 0, 1]"
we are party,"[1, 0, 0]"
what the fuck is up with your phantom grimstroke,"[0, 1, 0]"
this is hearld you cringe fucker,"[0, 0, 1]"
go play minecraft matthew,"[1, 0, 0]"
clock,"[1, 0, 0]"
puidge asshol,"[0, 0, 1]"
noob slark cant fight carry xd,"[0, 0, 1]"
wtf is this root,"[0, 1, 0]"
cant we ,"[1, 0, 0]"
in yo head dumbass,"[0, 0, 1]"
what a timing,"[1, 0, 0]"
fk that hurts,"[0, 1, 0]"
is he an asset or liability ,"[1, 0, 0]"
win lane then useless,"[0, 0, 1]"
need supp players,"[1, 0, 0]"
shaker used echo,"[1, 0, 0]"
it could have worked ,"[1, 0, 0]"
any big cock lovers here,"[0, 0, 1]"
you guys are doing a good job at carrying me to a loss,"[1, 0, 0]"
eziest game in my life,"[1, 0, 0]"
i can but i need to train myself for pos ,"[1, 0, 0]"
your descendants would feel my dick in your ass,"[0, 0, 1]"
pick something different you sad fucks,"[0, 1, 0]"
greys two dads are coming to pick him up,"[1, 0, 0]"
typical ching chong cant talk anything ,"[0, 0, 1]"
fuck off,"[0, 1, 0]"
what was that about the push mk ,"[1, 0, 0]"
u need kills for arcana ,"[1, 0, 0]"
not enough,"[1, 0, 0]"
ty for win tech,"[1, 0, 0]"
first streamsnipe ban snap,"[1, 0, 0]"
legion get off my dick,"[0, 0, 1]"
after he got trashcanned,"[1, 0, 0]"
english mother fucker do you speak it,"[0, 1, 0]"
item,"[1, 0, 0]"
report mk pls,"[1, 0, 0]"
fuck off,"[0, 1, 0]"
bros hop off my cock,"[0, 1, 0]"
how did yall manage to lose this game,"[1, 0, 0]"
i dont have sex,"[0, 1, 0]"
thats crazy bro,"[1, 0, 0]"
i do wanna see the kukumancer  ,"[1, 0, 0]"
ez noobs in team,"[0, 0, 1]"
wr crash,"[1, 0, 0]"
stupid kotl dont know how to place ward  buying for next game,"[0, 0, 1]"
that  k ,"[1, 0, 0]"
win ,"[1, 0, 0]"
no pl u cant win,"[1, 0, 0]"
literally,"[1, 0, 0]"
who,"[1, 0, 0]"
i think im pretty intimidating ty ty,"[1, 0, 0]"
g throne we afk,"[1, 0, 0]"
you really fucked my game bro  wp rub,"[0, 1, 0]"
u r the loser we have win this so ez,"[0, 0, 1]"
and staying afk in base min   ,"[1, 0, 0]"
fkin scaredy cats,"[0, 0, 1]"
fuck this hero,"[0, 1, 0]"
  iq player,"[1, 0, 0]"
wrong chat,"[1, 0, 0]"
think oh i can predict pango talk shit,"[0, 1, 0]"
stop cry pa,"[1, 0, 0]"
no worry bro it ll be quick,"[1, 0, 0]"
erpotign my team,"[1, 0, 0]"
i eat pussy  does that count ,"[0, 1, 0]"
poor puck s throat got wide   ,"[0, 0, 1]"
some trash u and pudge,"[0, 0, 1]"
fuck it,"[0, 1, 0]"
end this shit,"[0, 1, 0]"
the bestr p a of cuba,"[1, 0, 0]"
what a pure chance hook,"[1, 0, 0]"
that is a joke srsly,"[1, 0, 0]"
dogshit players,"[0, 0, 1]"
this is rocket league ,"[1, 0, 0]"
       th pick riki,"[1, 0, 0]"
  v   but having a hard time idiots,"[0, 1, 0]"
it s just waisitng time,"[1, 0, 0]"
by peru supports,"[1, 0, 0]"
rus tresh xd,"[1, 0, 0]"
stfu seafood,"[0, 1, 0]"
with this mothjerfuck midlaner,"[0, 1, 0]"
but our cores were weak,"[1, 0, 0]"
me party with you smoke joint,"[1, 0, 0]"
g next,"[1, 0, 0]"
techies throwing hes in your triangle,"[1, 0, 0]"
impactless,"[1, 0, 0]"
learned to make it from your nigger mom,"[0, 0, 1]"
ur team canb win with out u,"[1, 0, 0]"
get screwed so badly,"[1, 0, 0]"
u party gamers are mega clowns,"[0, 0, 1]"
stupid ass herp lol,"[0, 0, 1]"
earlier,"[1, 0, 0]"
fuck u,"[0, 0, 1]"
pls not this hero    ,"[1, 0, 0]"
this is what happens when ur mid is shit,"[0, 1, 0]"
i have an am who got shit on line and now he s crying hahaha what a good team  pure shit in this media  how could i get so low ,"[0, 1, 0]"
see item  st diot,"[0, 1, 0]"
whats the animal that keeps shitting on my car then huh ,"[0, 1, 0]"
for all the time,"[1, 0, 0]"
eater,"[1, 0, 0]"
literally nothing,"[1, 0, 0]"
g next,"[1, 0, 0]"
neither are you,"[1, 0, 0]"
u can turn a fight immediately,"[1, 0, 0]"
what do u mean by that,"[1, 0, 0]"
can suck my dick,"[0, 0, 1]"
your life must be so sad,"[1, 0, 0]"
he say stfu,"[0, 1, 0]"
party with midgod,"[1, 0, 0]"
thug doto   ,"[1, 0, 0]"
report this retard luna,"[0, 0, 1]"
what the fck are u doing,"[0, 1, 0]"
no uts ok veno did shit play we had this situation from the start,"[0, 1, 0]"
then he cries,"[1, 0, 0]"
ssaid im noob tinker but u scared,"[0, 1, 0]"
that,"[1, 0, 0]"
ask your chingchong friend,"[0, 0, 1]"
he hates me because of his first death,"[1, 0, 0]"
did you open the shit out of it ,"[0, 1, 0]"
imma throw this shit for u,"[0, 1, 0]"
manners is me inside ur mother,"[0, 0, 1]"
certainly didnt take losing very well,"[1, 0, 0]"
how u to bee ind g orcle  ,"[0, 0, 1]"
watch us lose,"[1, 0, 0]"
thats rough,"[1, 0, 0]"
en tu base caca de mr,"[1, 0, 0]"
just trhone this,"[1, 0, 0]"
hf next game,"[1, 0, 0]"
how about persona ,"[1, 0, 0]"
ofc bro,"[1, 0, 0]"
i play safe boys,"[1, 0, 0]"
what the shit u spouting sir,"[0, 1, 0]"
how tf is techies   kills,"[0, 1, 0]"
what losers,"[0, 0, 1]"
retarded peruvian drow,"[0, 0, 1]"
jesus fucking christ,"[0, 0, 1]"
plz rep this mf acc buyer,"[0, 1, 0]"
come out idiot sup,"[0, 0, 1]"
lftif i dc please wait i am going to start my generator and waiting for the router internet thanks  ,"[1, 0, 0]"
wtf is that,"[0, 1, 0]"
why,"[1, 0, 0]"
rofl,"[1, 0, 0]"
whos your baby idiot ,"[0, 0, 1]"
is there alot of gays in philippines ,"[0, 0, 1]"
how i know its not a trap  lol,"[1, 0, 0]"
what a lsoer,"[0, 0, 1]"
the succ,"[1, 0, 0]"
u play like sht anyway,"[0, 0, 1]"
imagine talking shit then losing,"[0, 1, 0]"
mother good ,"[1, 0, 0]"
whoops sad that outlooud,"[1, 0, 0]"
end it tme pas game with noob,"[0, 1, 0]"
shes so ugly,"[0, 0, 1]"
didnt think you guys got this toxic lowkey xd,"[1, 0, 0]"
you are so retarded pudge,"[0, 0, 1]"
finish it,"[1, 0, 0]"
my team lost lanes to this shit,"[0, 1, 0]"
worth ,"[1, 0, 0]"
fuck you too,"[0, 0, 1]"
what was that,"[1, 0, 0]"
cant wait ,"[1, 0, 0]"
going for u,"[1, 0, 0]"
w in the chat boys,"[1, 0, 0]"
nice bug i cant see your stupid web,"[1, 0, 0]"
but is it gay if the balls don t touch,"[0, 0, 1]"
we fed on purpose,"[1, 0, 0]"
gg team,"[1, 0, 0]"
who wanna be carry ,"[1, 0, 0]"
i hope his work goes under so he can play more dota,"[1, 0, 0]"
what was that about fucking us up later ,"[0, 1, 0]"
clock,"[1, 0, 0]"
report od ty,"[1, 0, 0]"
undying did the mouse eat ur tongue   ,"[1, 0, 0]"
master of beasts    ,"[1, 0, 0]"
all day fucking dogshit games,"[0, 1, 0]"
with sniper,"[1, 0, 0]"
pleas,"[1, 0, 0]"
we deboosters are losing the rate  take push heroes  buy meteors  tide will go behind the tower in the mid and will stop creeps for   minutes  do not kill him ,"[1, 0, 0]"
pick pa if u like slobbering all over fat cocks til they fill ur belly with hot cum,"[0, 0, 1]"
rank      k matches,"[1, 0, 0]"
sorry you feel insulted,"[1, 0, 0]"
fking bs hero,"[0, 1, 0]"
team ,"[1, 0, 0]"
kaechana later comeback,"[1, 0, 0]"
dont wanna play this trash,"[0, 1, 0]"
ur an ugly whore anyways blue,"[0, 0, 1]"
i don t give a shit about your spic traditions,"[0, 1, 0]"
what happen when i dont play caore,"[1, 0, 0]"
rompan torres,"[1, 0, 0]"
undead should be segregated from the rest of us  ,"[1, 0, 0]"
still managed to walk  ,"[1, 0, 0]"
wow  such a little bitch  can t even reply normaly without insulting some one ,"[0, 1, 0]"
ok ok settle down and ill get off your mum,"[0, 0, 1]"
if youre triying to tilt me low skilled animal,"[0, 0, 1]"
fuk this cunt,"[0, 0, 1]"
ur fucking good,"[0, 1, 0]"
team diiot,"[0, 0, 1]"
carry or ruin,"[1, 0, 0]"
now trashtalking ,"[1, 0, 0]"
my ench flame me,"[1, 0, 0]"
maybe its his teammates,"[1, 0, 0]"
stop using that shit,"[0, 1, 0]"
mid mode whitemon  ,"[1, 0, 0]"
absolute dog shit toxic,"[0, 0, 1]"
only  ,"[1, 0, 0]"
oh now it is only a game ,"[1, 0, 0]"
ta has boots    naga is a wank hero,"[0, 1, 0]"
what,"[1, 0, 0]"
boa rs,"[1, 0, 0]"
how u survived both those fights   ,"[1, 0, 0]"
nice hero,"[1, 0, 0]"
the attack didnt hit,"[1, 0, 0]"
ur pick is shit,"[0, 0, 1]"
hes talking mad shit too,"[0, 1, 0]"
and shit on so many pos  and  ,"[0, 1, 0]"
the owner of the bear a gay ,"[0, 0, 1]"
how much ,"[1, 0, 0]"
pobistree spushu,"[1, 0, 0]"
fuck u i am the carry,"[0, 1, 0]"
right,"[1, 0, 0]"
thank,"[1, 0, 0]"
caming,"[1, 0, 0]"
and his wasting his life time on this game,"[1, 0, 0]"
suck my tiny pecker,"[0, 0, 1]"
ur mom where,"[0, 0, 1]"
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,"[0, 1, 0]"
wait for him,"[1, 0, 0]"
or smoe shit,"[0, 1, 0]"
you are not playing good  our afghan friends playing bad,"[1, 0, 0]"
so stupid offlaner ,"[0, 0, 1]"
son of whore rubick ,"[0, 0, 1]"
haters,"[1, 0, 0]"
for the first time,"[1, 0, 0]"
he went to masturbate,"[0, 1, 0]"
why you didnt pick ur friend wtf,"[0, 1, 0]"
we re learning dota this side of the river,"[1, 0, 0]"
easiest game of my life,"[1, 0, 0]"
my carry vs enemy carry,"[1, 0, 0]"
fat ass fuck,"[0, 0, 1]"
sounds something a boyt would say,"[1, 0, 0]"
this am is fucking the hottest trash,"[0, 0, 1]"
wtf thats maggie ,"[0, 1, 0]"
son of pig caught live on camera,"[0, 0, 1]"
dont pick me with bob,"[1, 0, 0]"
i think u like a dog,"[0, 0, 1]"
clown sf,"[0, 0, 1]"
phone  a couple of mins max,"[1, 0, 0]"
you are lower race,"[0, 0, 1]"
really,"[1, 0, 0]"
termine hdp ,"[1, 0, 0]"
we have a lil jungle bitch here,"[0, 0, 1]"
idiot this pudge,"[0, 0, 1]"
wtf racism,"[0, 1, 0]"
comenc me ty,"[1, 0, 0]"
report puck ffs,"[0, 1, 0]"
u can fisnih right now,"[1, 0, 0]"
classic    age,"[1, 0, 0]"
why so pussy ,"[0, 1, 0]"
dog storm cant backlane,"[0, 0, 1]"
who,"[1, 0, 0]"
no awareness frog,"[1, 0, 0]"
cant do shet wihout ur suport,"[0, 1, 0]"
stil lthere,"[1, 0, 0]"
trashcunt,"[0, 0, 1]"
just as noob as you are    ,"[0, 1, 0]"
i fucking called it    sec in advance,"[0, 1, 0]"
who the fuck,"[0, 1, 0]"
really strong series guys,"[1, 0, 0]"
please let us win,"[1, 0, 0]"
thanks for coming,"[1, 0, 0]"
everyone on my team should neck themselves,"[1, 0, 0]"
that s why u start typing,"[1, 0, 0]"
ulises bueno  rusherking  big one   mentiras   crossover  ,"[1, 0, 0]"
pls own him,"[1, 0, 0]"
when we had so fck trash pick,"[0, 1, 0]"
my suport is noob as fk,"[0, 0, 1]"
but brown,"[1, 0, 0]"
trying so fucking hard to throw since lvl  ,"[0, 1, 0]"
toxic,"[1, 0, 0]"
why always wanna chase me,"[1, 0, 0]"
okay but your sister put her bed next to mine,"[1, 0, 0]"
trash drow,"[0, 0, 1]"
fukion ez ching chongs,"[0, 0, 1]"
sht cunt techies,"[0, 0, 1]"
what a trash pub,"[0, 1, 0]"
i say to them,"[1, 0, 0]"
good handicap for us,"[1, 0, 0]"
your parents never loved you  adopted cunt,"[0, 0, 1]"
this team scare,"[1, 0, 0]"
frc,"[1, 0, 0]"
lol he is a fat kid,"[0, 0, 1]"
its rly broken shit,"[0, 1, 0]"
useless enemy team also cant end,"[0, 0, 1]"
whore,"[1, 0, 0]"
yes we are noobs ,"[0, 1, 0]"
whity boyy,"[0, 0, 1]"
it was great ,"[1, 0, 0]"
timber sucks vs me and undying,"[0, 1, 0]"
despite both mid and offlane super feeding,"[1, 0, 0]"
do u already try new pudge set ,"[1, 0, 0]"
can end i destroy my item already,"[1, 0, 0]"
clowns,"[1, 0, 0]"
play genshin,"[1, 0, 0]"
why waste your own time,"[1, 0, 0]"
im here to bang bitches and own noobs,"[0, 0, 1]"
they didnt pick a single,"[1, 0, 0]"
clown carry ,"[0, 0, 1]"
bark for me cory your handler said it was allowed,"[0, 0, 1]"
when u r losing raxes now,"[1, 0, 0]"
i m a fucking hooker,"[0, 1, 0]"
actually dont touch his blade thanks,"[1, 0, 0]"
really really ez,"[1, 0, 0]"
you are so shit lmao,"[0, 1, 0]"
stop playing,"[1, 0, 0]"
you are the most skilled archon ive ever seen,"[1, 0, 0]"
disugsting gross filth race,"[0, 0, 1]"
it helps,"[1, 0, 0]"
hitting towers,"[1, 0, 0]"
aw shiet,"[0, 1, 0]"
end chicas,"[1, 0, 0]"
what a trash game,"[1, 0, 0]"
but didnt specify which game,"[1, 0, 0]"
mather  d,"[1, 0, 0]"
playing  wth rightclick hero,"[1, 0, 0]"
dont talk son of whore,"[0, 0, 1]"
ez indio,"[0, 0, 1]"
se distrae intentando matarme ta k abuso,"[1, 0, 0]"
