message,target
fuck this firebird im with,"[0, 1, 0]"
throne it,"[1, 0, 0]"
ending the game ,"[1, 0, 0]"
my team are pussy,"[0, 0, 1]"
who are u idiots,"[0, 0, 1]"
how u to bee ind g  ,"[0, 0, 1]"
you got the   again ,"[1, 0, 0]"
ez team huh storm  sadge ,"[1, 0, 0]"
ill take some of those stiches,"[1, 0, 0]"
why me with pa idiot,"[0, 0, 1]"
whole,"[1, 0, 0]"
i m bleeding from a huge gash,"[1, 0, 0]"
we have noob team,"[0, 0, 1]"
you aint tearing shite apart,"[0, 1, 0]"
cllowns,"[1, 0, 0]"
need more practice,"[1, 0, 0]"
piss is store in the girl balls,"[0, 1, 0]"
can u end mid with metores,"[1, 0, 0]"
youre lucky our drow has downsyndrome,"[0, 0, 1]"
these guys were ass,"[0, 0, 1]"
its ok boys,"[1, 0, 0]"
sniper poor have a bad net,"[1, 0, 0]"
i need a pause for   min in      minutes for delivery sorry,"[1, 0, 0]"
morons,"[0, 1, 0]"
its ok pudge,"[1, 0, 0]"
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,"[0, 1, 0]"
maybe that will work,"[1, 0, 0]"
gl whoever has him in his team,"[1, 0, 0]"
dog shit team again,"[0, 0, 1]"
gj team commend for all,"[1, 0, 0]"
he coming,"[1, 0, 0]"
fucking sucks,"[0, 1, 0]"
the,"[1, 0, 0]"
just stay base bastards,"[0, 0, 1]"
i lost    games won  ,"[1, 0, 0]"
are femboys gay   ,"[0, 0, 1]"
finally axe did it,"[1, 0, 0]"
 noob techies,"[0, 0, 1]"
this,"[1, 0, 0]"
tanggggggg inaaaaaaaaaaaaaaaaaaaaa,"[0, 1, 0]"
trash necro,"[0, 0, 1]"
fking cunt,"[0, 0, 1]"
ur moms butthole last night,"[0, 0, 1]"
cheating brownskinned piece of filkth,"[0, 1, 0]"
fuck me may aswell go unpack the dishwasher ,"[0, 1, 0]"
if u pick lifestealer in turbo,"[1, 0, 0]"
fukcing hel,"[0, 1, 0]"
was it worth,"[1, 0, 0]"
   deaths,"[1, 0, 0]"
shame i have to listen to dog,"[0, 0, 1]"
fucking hell ,"[0, 1, 0]"
for   man echo,"[1, 0, 0]"
and supor are trash,"[0, 0, 1]"
my boy is fed as fuck,"[0, 1, 0]"
why won t u wait ,"[1, 0, 0]"
fucking lane creep ruining my health,"[0, 1, 0]"
but sniper always gets fucked by sd,"[0, 1, 0]"
it s       for me rn,"[1, 0, 0]"
fck this game,"[0, 1, 0]"
trying to win ti bro ,"[1, 0, 0]"
literally,"[1, 0, 0]"
why he still in mid,"[1, 0, 0]"
ind g poor cpountry ,"[0, 0, 1]"
should be the one playing on his real rank,"[1, 0, 0]"
fucking motha fucka indian,"[0, 1, 0]"
rs first,"[1, 0, 0]"
fckng toxic carry,"[0, 1, 0]"
try ur best,"[1, 0, 0]"
what a loser,"[0, 0, 1]"
sorry in advance ,"[1, 0, 0]"
who this gay,"[0, 0, 1]"
i don t give a fuck,"[0, 1, 0]"
would u play     yamsum,"[1, 0, 0]"
useless carry,"[0, 0, 1]"
play like fk dog scare the sh i,"[0, 0, 1]"
that s what friends are for,"[1, 0, 0]"
i just died to fire that doesnt move,"[1, 0, 0]"
only adjust for ti players,"[1, 0, 0]"
this team is all retarded,"[0, 0, 1]"
retarded shits,"[0, 0, 1]"
he is gay,"[0, 0, 1]"
how spirit fuck all your teams,"[0, 1, 0]"
teamo,"[1, 0, 0]"
you missed out on a goodnight kiss lmao what a loser,"[0, 0, 1]"
less toxic,"[1, 0, 0]"
report burrudge,"[1, 0, 0]"
haha shit slark ,"[0, 0, 1]"
fuck off from my team,"[0, 1, 0]"
then somehow,"[1, 0, 0]"
cmnd ember,"[1, 0, 0]"
try not to suck this time qop,"[1, 0, 0]"
then you end,"[1, 0, 0]"
this   faking core with stupid item build,"[0, 0, 1]"
something la tu,"[1, 0, 0]"
fcking thor,"[0, 1, 0]"
you are the one whos crying,"[1, 0, 0]"
i wont be with,"[1, 0, 0]"
then noob,"[0, 1, 0]"
imagine that,"[1, 0, 0]"
report clinkz,"[1, 0, 0]"
fucking lowrank,"[0, 1, 0]"
holy based its ccnc,"[1, 0, 0]"
and we can,"[1, 0, 0]"
his parents were actual persian cousins that were already the product of some very fucking serious incest,"[0, 0, 1]"
you tennis fuck,"[0, 0, 1]"
why you ban ember,"[1, 0, 0]"
what is this ban,"[1, 0, 0]"
stack reports on dusa ,"[1, 0, 0]"
crazy,"[1, 0, 0]"
i love how they were talking shit to me at pick phase,"[0, 1, 0]"
  cary ,"[1, 0, 0]"
oh ya the ol typical blame teammate for dying bullshit,"[0, 1, 0]"
can you see that im doom,"[1, 0, 0]"
comeback,"[1, 0, 0]"
he cry ,"[1, 0, 0]"
report od,"[1, 0, 0]"
boring,"[1, 0, 0]"
obviously  the idiot tank died first,"[0, 0, 1]"
not carry idioat,"[0, 1, 0]"
thx for wait,"[1, 0, 0]"
please aim io,"[1, 0, 0]"
that s all am can do ,"[1, 0, 0]"
you need loving,"[1, 0, 0]"
she might be in ur next game,"[1, 0, 0]"
she did doggy style last night,"[0, 0, 1]"
fuckin hope not,"[0, 1, 0]"
please,"[1, 0, 0]"
pl is shit,"[0, 0, 1]"
naga    go eat a bag of dicks,"[0, 0, 1]"
told u about this build le,"[1, 0, 0]"
that s all i can say,"[1, 0, 0]"
give us a min if possible but its jus a game   holy shit nuggets,"[0, 1, 0]"
hey legion,"[1, 0, 0]"
we pushed this series back    mins jsut for you to be able to paly,"[1, 0, 0]"
lo west race of earth,"[0, 0, 1]"
the pussy ds pick  d ,"[0, 0, 1]"
fuck jhames,"[0, 0, 1]"
have you read the stormlight archive ,"[1, 0, 0]"
third world huh  ,"[1, 0, 0]"
trash team,"[0, 0, 1]"
fuck off idio,"[0, 0, 1]"
fucking cucks,"[0, 0, 1]"
shut your mouth jabroni,"[0, 1, 0]"
so fucking useless supports,"[0, 0, 1]"
bro ur so fking bad crusaders rofl,"[0, 1, 0]"
repport wynter,"[1, 0, 0]"
f dog spec have ulti and aga,"[0, 0, 1]"
they literally,"[1, 0, 0]"
report these mtfckin as   holes support roles  ,"[0, 0, 1]"
really trash,"[0, 0, 1]"
pick something you muppet,"[0, 0, 1]"
oh crap ,"[1, 0, 0]"
leave him alone,"[1, 0, 0]"
hey they added a button to lifesteal aura,"[1, 0, 0]"
 st time win with meepo,"[1, 0, 0]"
retard cunt undying,"[0, 0, 1]"
bouty pos   ,"[1, 0, 0]"
is off the charts,"[1, 0, 0]"
why not,"[1, 0, 0]"
die or cry ,"[1, 0, 0]"
its fine ,"[1, 0, 0]"
team nb,"[1, 0, 0]"
dont waste my time on this shit,"[0, 1, 0]"
thanks,"[1, 0, 0]"
truly idiot,"[0, 0, 1]"
tilted ass,"[0, 1, 0]"
they want luna to abandon,"[1, 0, 0]"
maybe people should stop aprty when its not a thing,"[1, 0, 0]"
weak ass country,"[0, 0, 1]"
youre a little bitch irl,"[0, 0, 1]"
party with toxic,"[1, 0, 0]"
i randomed this shit in mid and still won,"[0, 1, 0]"
fuck your mum wid your language,"[0, 0, 1]"
onmce again,"[1, 0, 0]"
i shot myself in the head after that game so im a whole new person now,"[1, 0, 0]"
strong  tinker is also in the game  energy,"[1, 0, 0]"
he dling some heavy ass porn,"[0, 0, 1]"
fully rtard,"[0, 1, 0]"
since my mid laner is retarded,"[0, 0, 1]"
thats so hot,"[1, 0, 0]"
shitty cop tho,"[0, 1, 0]"
in chinese server,"[1, 0, 0]"
because he s not a fucking nerd,"[0, 1, 0]"
ty sf,"[1, 0, 0]"
rapier wont help feed yes,"[1, 0, 0]"
whats up,"[1, 0, 0]"
its a cum black,"[0, 1, 0]"
you think you can win ,"[1, 0, 0]"
play rubik or ill fist my asshole,"[0, 1, 0]"
any sup  ,"[1, 0, 0]"
he is your bitch es,"[0, 0, 1]"
i know babi only,"[1, 0, 0]"
sir le cock of roachith,"[1, 0, 0]"
i just think top lanes funny,"[1, 0, 0]"
rubick go your mmr,"[1, 0, 0]"
he comin back,"[1, 0, 0]"
take it easy pa   trash is trash,"[0, 1, 0]"
imagine picking bat mid then losing this hard jesus,"[1, 0, 0]"
qop do you ever stop whining,"[1, 0, 0]"
good aiming supp first,"[1, 0, 0]"
ever been called morons ,"[0, 1, 0]"
and end fast,"[1, 0, 0]"
end this,"[1, 0, 0]"
found yua,"[1, 0, 0]"
its ok pretty free game,"[1, 0, 0]"
so boring pudge,"[1, 0, 0]"
he got banned,"[1, 0, 0]"
go feed tonce,"[1, 0, 0]"
sucker oracle,"[0, 0, 1]"
this idiots cant play,"[0, 0, 1]"
this slardussy aint shit bro,"[0, 1, 0]"
but my sup can,"[1, 0, 0]"
exactly    slotted,"[1, 0, 0]"
you just got raped under tower,"[0, 0, 1]"
some how,"[1, 0, 0]"
you should stop trying to kill me my stupid friend,"[0, 1, 0]"
hard support,"[1, 0, 0]"
he s a son of whore,"[0, 0, 1]"
my love we meet again,"[1, 0, 0]"
its both good xd,"[1, 0, 0]"
lol carried by a shitty tinker spammer and our throw,"[0, 1, 0]"
pre sure silencer is baked,"[1, 0, 0]"
i smashed u near the bed,"[1, 0, 0]"
thats like the most retarded team u can make,"[0, 1, 0]"
which piece of dog ,"[0, 0, 1]"
dud he acc buyer and fk dop game,"[0, 1, 0]"
my team does not seem to udnerstand the concept of outpick,"[1, 0, 0]"
son of the bitfhes,"[0, 0, 1]"
but dog cant play,"[0, 0, 1]"
itchy,"[1, 0, 0]"
then dying,"[1, 0, 0]"
son of a bnitch,"[0, 0, 1]"
gl to whoever gets drow next,"[1, 0, 0]"
and u just mad for losing mid xd,"[1, 0, 0]"
fuck you talk too much,"[0, 1, 0]"
and we walk like idiot,"[0, 1, 0]"
with u mommy,"[1, 0, 0]"
the fk,"[0, 1, 0]"
go throne,"[1, 0, 0]"
name checks out,"[1, 0, 0]"
fuck this od smurf ,"[0, 1, 0]"
  cores btw,"[1, 0, 0]"
why,"[1, 0, 0]"
thank u,"[1, 0, 0]"
tinker booster in my team,"[1, 0, 0]"
watch replay autisty,"[0, 0, 1]"
fuck you too mate,"[0, 0, 1]"
why,"[1, 0, 0]"
watch me rape this game,"[0, 0, 1]"
dumbass trash,"[0, 0, 1]"
of,"[1, 0, 0]"
sniper is a pussy,"[0, 0, 1]"
yes but you will lose  ,"[1, 0, 0]"
waste of tiem,"[1, 0, 0]"
tb is the carry nbot me clowns,"[0, 0, 1]"
items,"[1, 0, 0]"
like they re fucking trying to lose,"[0, 1, 0]"
havent played morph in   months be nice pls,"[1, 0, 0]"
throne,"[1, 0, 0]"
nice throws,"[1, 0, 0]"
to make yourself,"[1, 0, 0]"
windranger is still in my mum,"[0, 0, 1]"
let tip ns for his decision to chase a pos   and let his pos   died,"[1, 0, 0]"
when u target me you re just inting,"[1, 0, 0]"
hate this am,"[0, 1, 0]"
you are shit,"[0, 0, 1]"
there s only me,"[1, 0, 0]"
whos dead again,"[1, 0, 0]"
good thing sk carrying us,"[1, 0, 0]"
sorry my dick was in usb port,"[0, 1, 0]"
can throne,"[1, 0, 0]"
dark willow is perfectly balanced hero ,"[1, 0, 0]"
he just learned them at school this week,"[1, 0, 0]"
really now,"[1, 0, 0]"
imgine thinking this pango must tlak shit,"[0, 1, 0]"
we will succumb to you if you send us more weapons to ukraine,"[1, 0, 0]"
this ghuy tilted af,"[0, 1, 0]"
for that i m not stupid shit,"[0, 1, 0]"
u bait me to this shit ab   ,"[0, 1, 0]"
   sorry wraith,"[1, 0, 0]"
got a turtle neck happening,"[1, 0, 0]"
i play with   dog,"[0, 0, 1]"
   ripbozo rest in piss you won t be missed     ,"[0, 0, 1]"
u fucking trash,"[0, 0, 1]"
sven support that mother fk,"[0, 1, 0]"
kill thm all guys,"[1, 0, 0]"
how we cumming back ,"[0, 1, 0]"
if he lets us end  ,"[1, 0, 0]"
  sups you want me play with drow ranger fu,"[0, 0, 1]"
and bm,"[1, 0, 0]"
thatswhy i   k,"[1, 0, 0]"
china acc buyer mid,"[0, 0, 1]"
first lose ,"[1, 0, 0]"
a common noob,"[0, 1, 0]"
   how much the score now coz if i remebered u got own in first game,"[1, 0, 0]"
morphlp,"[1, 0, 0]"
who im dire or radiant   ,"[1, 0, 0]"
fair  we usually have that problem,"[1, 0, 0]"
if u have it,"[1, 0, 0]"
rtard leave me on line and go farm jungle and now blame me xd so rtarded peoples playing this gaem,"[0, 0, 1]"
wanted to eat a horse,"[1, 0, 0]"
and you lose to my mid,"[1, 0, 0]"
rep lich,"[1, 0, 0]"
he can use it before   ,"[1, 0, 0]"
drow s logic be like  i know im the lowest rank here but u guys must adjust for me ,"[1, 0, 0]"
check onlyfans,"[1, 0, 0]"
muted,"[1, 0, 0]"
go kill that mf at top,"[0, 1, 0]"
what,"[1, 0, 0]"
mad cause backseat driving while farming as a supp,"[1, 0, 0]"
useless core,"[0, 0, 1]"
this teem,"[1, 0, 0]"
the fuck,"[0, 1, 0]"
nope why ,"[1, 0, 0]"
break ur hand or brain,"[1, 0, 0]"
i wanna   throw,"[1, 0, 0]"
than u think,"[1, 0, 0]"
for why ,"[1, 0, 0]"
party with rage only,"[1, 0, 0]"
china team ,"[1, 0, 0]"
fuck this team,"[0, 0, 1]"
actyually,"[1, 0, 0]"
fat cock,"[0, 1, 0]"
why the hell,"[1, 0, 0]"
a bit rude innit,"[1, 0, 0]"
why u dont listen ,"[1, 0, 0]"
  vs   and this noob offlane stil bark,"[0, 1, 0]"
can all of you shut the fuck up  you ruining my mojo,"[0, 1, 0]"
thats my dream too,"[1, 0, 0]"
what  scared ,"[1, 0, 0]"
its so ,"[1, 0, 0]"
why didnt u come to fountain mate ,"[1, 0, 0]"
took the kill,"[1, 0, 0]"
and you play with left hand mouse  right hand keyboard  blindfolded,"[1, 0, 0]"
fucking bums,"[0, 0, 1]"
who tell you that im joking ,"[1, 0, 0]"
fuk clownb,"[0, 1, 0]"
why,"[1, 0, 0]"
wtf is your move speed,"[0, 1, 0]"
ofc i will farm  im meepo,"[1, 0, 0]"
that noob shit,"[0, 0, 1]"
see bara you were shit as omni before and now as bara,"[0, 1, 0]"
report io,"[1, 0, 0]"
i fedding on ur mothers tits rn medusa,"[0, 0, 1]"
stick top  ,"[1, 0, 0]"
no way  he rocks,"[1, 0, 0]"
we ve all been there haha,"[1, 0, 0]"
stand and fight then bitch,"[0, 1, 0]"
sf just constantly yelling,"[1, 0, 0]"
at the side,"[1, 0, 0]"
son of whore,"[0, 0, 1]"
play more gay heros,"[0, 0, 1]"
would you rather bang or gain     mmr ,"[0, 1, 0]"
 idiot teamm,"[0, 0, 1]"
fucking shit ember,"[0, 0, 1]"
sandwich dishwasher bitch,"[0, 0, 1]"
and u turned all dark wtf,"[0, 1, 0]"
fuck off,"[0, 1, 0]"
shut up  stupid boy,"[0, 0, 1]"
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,"[0, 1, 0]"
lmao you literally talked shit,"[0, 1, 0]"
any mid players or pos   ,"[1, 0, 0]"
enddddd the fucking game,"[0, 1, 0]"
stack reports on lycan,"[1, 0, 0]"
got tumor on his brain this primal,"[0, 0, 1]"
puysh and end it,"[1, 0, 0]"
ofc,"[1, 0, 0]"
report clinkz,"[1, 0, 0]"
fuck this guy ,"[0, 0, 1]"
gpo with eam,"[1, 0, 0]"
i dont waste argue with newplayer noob,"[0, 1, 0]"
this time team has decided not to chase uselessly  when it might ve got kills,"[1, 0, 0]"
gotta be shitting with all those first hit bashes,"[0, 1, 0]"
they fuckin sleeep,"[0, 1, 0]"
what a shtiy dog hes,"[0, 0, 1]"
shrimple as,"[1, 0, 0]"
rpeort nec,"[1, 0, 0]"
mucho es mi invoker ,"[1, 0, 0]"
i m noob ,"[0, 1, 0]"
wasting time ,"[1, 0, 0]"
  morons atacking pudge non stop,"[0, 1, 0]"
how your farm is going  ,"[1, 0, 0]"
not with zaika in team pls ,"[1, 0, 0]"
cmre,"[1, 0, 0]"
it is indeed his phrase,"[1, 0, 0]"
fucking trio,"[0, 1, 0]"
dickhead,"[0, 0, 1]"
our wk is more of a dumbass,"[0, 0, 1]"
this guys sucks,"[0, 0, 1]"
he cum he came   sec,"[1, 0, 0]"
lol what,"[1, 0, 0]"
why is gyro top,"[1, 0, 0]"
not about it,"[1, 0, 0]"
you dont know gihapon means ,"[1, 0, 0]"
really,"[1, 0, 0]"
  son of whores,"[0, 0, 1]"
shitmy pants there,"[0, 0, 1]"
putin sucks cocks,"[0, 0, 1]"
lycan too much youtube,"[1, 0, 0]"
any one puta,"[0, 0, 1]"
this is just a gaaame bruh,"[1, 0, 0]"
rubbik u landed more fk hooks than this pudge,"[1, 0, 0]"
can you actually have mercy,"[1, 0, 0]"
fuck ythis team,"[0, 0, 1]"
go fuck yourself mk,"[0, 0, 1]"
use it tmororow la,"[1, 0, 0]"
we found him on the street,"[1, 0, 0]"
but dont know aghs can make her invi,"[1, 0, 0]"
with puck and jugger and bh,"[1, 0, 0]"
what a fcking awful players,"[0, 1, 0]"
tanga slark,"[0, 0, 1]"
 bot farming,"[1, 0, 0]"
  hero   shot,"[1, 0, 0]"
of yoru fucking  k team,"[0, 0, 1]"
no more wr,"[1, 0, 0]"
where lina,"[1, 0, 0]"
can yall cast shit on me,"[0, 1, 0]"
q too long otherwise,"[1, 0, 0]"
i was     this idiot took xp in lane ,"[0, 0, 1]"
i wouldve done the same,"[1, 0, 0]"
like wtf,"[0, 1, 0]"
we have idiot,"[0, 0, 1]"
this am really stupid,"[0, 0, 1]"
you realize you saying that,"[1, 0, 0]"
what a battle,"[1, 0, 0]"
you are trash,"[0, 0, 1]"
wp team,"[1, 0, 0]"
but dogshit carry,"[0, 0, 1]"
ty  g ,"[1, 0, 0]"
chinese inbred,"[1, 0, 0]"
shut the fuck up kokz,"[0, 0, 1]"
like ur mum,"[0, 0, 1]"
and he doesnt know how to fucking push,"[0, 1, 0]"
please,"[1, 0, 0]"
seems we both used shit on a support,"[0, 1, 0]"
go throne pls,"[1, 0, 0]"
thats my chinese mid,"[0, 0, 1]"
fuck off,"[0, 1, 0]"
its dumb that he can feed all game but then suddenly hit a spike and this shit happens,"[0, 1, 0]"
doing the inside job,"[1, 0, 0]"
worth,"[1, 0, 0]"
report this stupid fish pls,"[0, 0, 1]"
tryhard bois,"[1, 0, 0]"
a pro player,"[1, 0, 0]"
haha son of whore,"[0, 0, 1]"
repport fast,"[1, 0, 0]"
the bashhh,"[1, 0, 0]"
its a game,"[1, 0, 0]"
stop pausing the game,"[1, 0, 0]"
annoying dog barking from wk s mic,"[0, 0, 1]"
the useless enigma is feeling him self,"[0, 0, 1]"
in my cock,"[0, 1, 0]"
what are u idiot ,"[0, 1, 0]"
hurry up and fight bro,"[1, 0, 0]"
just imagine we are all tipping you,"[1, 0, 0]"
cm thinks trans people struggle,"[1, 0, 0]"
why did muthu just send me a butter chicken recipe on pintrest ,"[1, 0, 0]"
math is not mathing,"[1, 0, 0]"
dont ply io ,"[1, 0, 0]"
hes too dumb to even play wk,"[0, 0, 1]"
choose to kill bat for roshan,"[1, 0, 0]"
he doesnt even need to be exact he be throwin after i grabbed the wis rune i dont even know he be wantint that ,"[1, 0, 0]"
i thought u were afk dog,"[0, 1, 0]"
and starts crying when people bm him back,"[1, 0, 0]"
 i hope u can win me,"[1, 0, 0]"
this is my game,"[1, 0, 0]"
last time i stood in vs ur team jemo  you ended up being short of a pos   player,"[1, 0, 0]"
so soft ah this pango,"[1, 0, 0]"
your welcome,"[1, 0, 0]"
i would literally fucking remind you you are happy at   k a year with inflation,"[0, 1, 0]"
rompe items,"[1, 0, 0]"
nice one,"[1, 0, 0]"
dfestory my items when spwaning,"[1, 0, 0]"
son of slut,"[0, 0, 1]"
baited,"[1, 0, 0]"
holy fucking shit,"[0, 1, 0]"
only dog shits,"[0, 1, 0]"
farty diaper,"[1, 0, 0]"
i hope whoever sees you in ranked picks tinker and mega fucks you,"[0, 0, 1]"
steal my dick pls  i m a virgin,"[0, 1, 0]"
that u won this game,"[1, 0, 0]"
a powerfull hero with nob hand,"[0, 1, 0]"
sry bro not personal,"[1, 0, 0]"
that bitch was with me   sec ago ,"[0, 1, 0]"
legend player cute,"[1, 0, 0]"
thats fucked up,"[0, 1, 0]"
this is so ez for me,"[1, 0, 0]"
relly time waste,"[1, 0, 0]"
go fuck urself mate,"[0, 0, 1]"
they pussy af,"[0, 0, 1]"
ld you lose mid like dog dont try to be toxic plss,"[0, 1, 0]"
i d actually put one up your ass you insufferable twink,"[0, 0, 1]"
what the fking are you doing there,"[0, 1, 0]"
slow in mund i mean,"[1, 0, 0]"
fucking trash supports,"[0, 0, 1]"
who the fuk get grand master on sniper,"[0, 1, 0]"
classic dota pick husker and own rtarded sub humans,"[0, 0, 1]"
fuck your mother aa,"[0, 0, 1]"
report beast for   digit,"[1, 0, 0]"
we are not waiting fucking    minutes,"[0, 1, 0]"
no silver edge haha  typical trash dog,"[0, 0, 1]"
bs report thx,"[1, 0, 0]"
dont fuck with the mutts,"[0, 1, 0]"
always the mid or the safelane is noob,"[0, 0, 1]"
just wasting time,"[1, 0, 0]"
he got carried,"[1, 0, 0]"
wait on youtube,"[1, 0, 0]"
free to leave,"[1, 0, 0]"
oe el pugna tme ta tecleando te metes mrd,"[1, 0, 0]"
what is     ,"[1, 0, 0]"
once again,"[1, 0, 0]"
